iter	RMSE
0	6.267559975
1	6.110382523
2	5.978975974
3	5.813402248
4	5.656305864
5	5.512127208
6	5.372102751
7	5.26333878
8	5.13179856
9	5.010625991
10	4.886018441
11	4.764726132
12	4.648404215
13	4.559066411
14	4.43989626
15	4.319460057
16	4.214137981
17	4.118763005
18	4.020889228
19	3.918749231
20	3.826093593
21	3.739774226
22	3.640482031
23	3.560975506
24	3.48299064
25	3.408601025
26	3.336536064
27	3.272269212
28	3.197622337
29	3.125425201
30	3.054194995
31	2.972212217
32	2.902933242
33	2.857528102
34	2.790086368
35	2.726953183
36	2.666841032
37	2.602194115
38	2.539467366
39	2.485323689
40	2.427489388
41	2.376340432
42	2.316172139
43	2.280376011
44	2.227371863
45	2.180748629
46	2.139301275
47	2.095527569
48	2.048804419
49	2.012926775
50	1.961837852
51	1.924100666
52	1.883406729
53	1.839641731
54	1.797755817
55	1.752139245
56	1.708729924
57	1.673743704
58	1.637105957
59	1.598842864
60	1.562575699
61	1.528766285
62	1.501358761
63	1.47219312
64	1.444474298
65	1.411781769
66	1.38183994
67	1.352244068
68	1.325113771
69	1.299659854
70	1.273010087
71	1.249396602
72	1.225021117
73	1.201223556
74	1.175454961
75	1.155621083
76	1.136846449
77	1.113817266
78	1.095547603
79	1.077312933
80	1.05376969
81	1.03621968
82	1.020108829
83	1.002767283
84	0.9859995121
85	0.9701703684
86	0.950799047
87	0.9353709741
88	0.9146246968
89	0.9006880596
90	0.8865086363
91	0.8704243851
92	0.8564951124
93	0.8435022366
94	0.8324726857
95	0.8194247185
96	0.8093240543
97	0.798747338
98	0.7843735828
99	0.7702697867
100	0.7612914206
101	0.7500082928
102	0.7397317729
103	0.7260284905
104	0.7172914498
105	0.7053583483
106	0.6933145537
107	0.6809323523
108	0.6716118908
109	0.6628641204
110	0.6519359862
111	0.644257532
112	0.6366925425
113	0.629154231
114	0.6193089905
115	0.6109013182
116	0.6038883286
117	0.5949961442
118	0.5868994461
119	0.5798528413
120	0.5744964112
121	0.5664896764
122	0.5607275795
123	0.5536625868
124	0.5476011763
125	0.5416507362
126	0.5360001275
127	0.5305389787
128	0.5251127957
129	0.5205841656
130	0.5150421267
131	0.5093347666
132	0.5047200062
133	0.4994720898
134	0.4961738992
135	0.4916353088
136	0.4856596688
137	0.4822796762
138	0.4797906119
139	0.474766228
140	0.4697344975
141	0.4648050321
142	0.4607233267
143	0.4588650383
144	0.4545346326
145	0.4507030823
146	0.4466412479
147	0.4435954776
148	0.44082747
149	0.4377871861
150	0.4347061811
151	0.4302515442
152	0.4266460624
153	0.4229906785
154	0.4196546999
155	0.4161920879
156	0.4131017695
157	0.409974126
158	0.4063583161
159	0.4045870099
160	0.4022902405
161	0.3995609078
162	0.3978201372
163	0.3948045922
164	0.3919803405
165	0.3895700688
166	0.3878726355
167	0.3857301627
168	0.3841586485
169	0.382938684
170	0.3812387902
171	0.3787011495
172	0.376209638
173	0.3742512466
174	0.3734156663
175	0.371149608
176	0.3688137793
177	0.3679357558
178	0.3663543765
179	0.3645828544
180	0.3634017927
181	0.3609676815
182	0.3592993142
183	0.3567437554
184	0.3545394341
185	0.3524657338
186	0.3519442048
187	0.3494669766
188	0.347306887
189	0.3458960924
190	0.3444890114
191	0.3435467678
192	0.3429196143
193	0.34091377
194	0.3396043245
195	0.3383831936
196	0.3364165186
197	0.3350863825
198	0.333879388
199	0.3321311898
200	0.3313829294
201	0.3298650971
202	0.3288003961
203	0.3276550226
204	0.3267839108
205	0.3246925921
206	0.3234785589
207	0.3217495298
208	0.3212002947
209	0.3195439543
210	0.3187867104
211	0.3174198477
212	0.3164968217
213	0.3158541133
214	0.3148703455
215	0.3132695008
216	0.3116876925
217	0.3101242494
218	0.3094407894
219	0.3089569718
220	0.3072837566
221	0.3056232835
222	0.3040627668
223	0.3033865568
224	0.3027652196
225	0.3011762653
226	0.3005945058
227	0.2990758545
228	0.2985325582
229	0.2971073443
230	0.2959920486
231	0.2943950535
232	0.2927551379
233	0.2922982785
234	0.2919826103
235	0.2917558846
236	0.2915259713
237	0.2904366695
238	0.2902078445
239	0.2897582018
240	0.2880978351
241	0.287902785
242	0.2864552289
