iter	RMSE
0	6.488856304
1	6.313758763
2	6.168100669
3	5.987138749
4	5.84093418
5	5.690780668
6	5.547912384
7	5.441581346
8	5.319368845
9	5.182839938
10	5.052488598
11	4.939310508
12	4.819241318
13	4.707971193
14	4.586744026
15	4.460673665
16	4.36638737
17	4.264150672
18	4.16548236
19	4.059396824
20	3.965350563
21	3.888855132
22	3.782037877
23	3.701719865
24	3.627525932
25	3.548860671
26	3.455602808
27	3.372203599
28	3.286075367
29	3.208993681
30	3.141456164
31	3.05994024
32	2.989393157
33	2.930970537
34	2.865193607
35	2.802401789
36	2.746926054
37	2.689382867
38	2.624196917
39	2.559845348
40	2.501828208
41	2.451491597
42	2.392876351
43	2.345045059
44	2.287714726
45	2.237425739
46	2.203255053
47	2.153017751
48	2.098296079
49	2.052664214
50	2.000243267
51	1.955435008
52	1.918566319
53	1.873641074
54	1.837300522
55	1.789794013
56	1.746907118
57	1.710475505
58	1.670878117
59	1.634297211
60	1.599563185
61	1.562210842
62	1.540436468
63	1.509528815
64	1.473697748
65	1.448421264
66	1.415652945
67	1.392919129
68	1.371785022
69	1.351657697
70	1.325640876
71	1.300185839
72	1.278043224
73	1.252053271
74	1.227397283
75	1.205140566
76	1.182008668
77	1.157003419
78	1.133120623
79	1.117294691
80	1.095284307
81	1.077887605
82	1.058607239
83	1.03944927
84	1.021019735
85	0.9977529992
86	0.9829676671
87	0.9634967181
88	0.9459180383
89	0.9288376555
90	0.9137778181
91	0.8952963641
92	0.8817636132
93	0.8681613349
94	0.8564849836
95	0.8439581504
96	0.8347495836
97	0.820691457
98	0.8076984923
99	0.79447639
100	0.7792081166
101	0.7681191439
102	0.7539583075
103	0.740235247
104	0.7291172918
105	0.7158706714
106	0.7051970831
107	0.694766853
108	0.682736889
109	0.6748206541
110	0.6655004334
111	0.6539504536
112	0.6461637643
113	0.6368869114
114	0.6292978587
115	0.617058427
116	0.6061200809
117	0.5971289582
118	0.588199056
119	0.5806163613
120	0.5715155421
121	0.5651587039
122	0.5580075298
123	0.5501163769
124	0.5419362745
125	0.5363252183
126	0.5281204243
127	0.5233211042
128	0.5173055655
129	0.5110614038
130	0.5059053236
131	0.4993214593
132	0.4932685046
133	0.4854535329
134	0.4797306878
135	0.4741125904
136	0.4689341119
137	0.4643806693
138	0.4600404403
139	0.4557252157
140	0.4497742021
141	0.44395705
142	0.4386765651
143	0.4338207939
144	0.4292862759
145	0.4256973806
146	0.421085715
147	0.4176330289
148	0.4139527036
149	0.4103824313
150	0.4076933127
151	0.4043665973
152	0.4006458453
153	0.3966507429
154	0.392869007
155	0.3891947919
156	0.3851673453
157	0.3820076527
158	0.3787046733
159	0.3758892212
160	0.373203716
161	0.3709500701
162	0.3690159096
163	0.3661883749
164	0.3629970764
165	0.3603773937
166	0.357818697
167	0.3562064672
168	0.3539480514
169	0.351444552
170	0.3484923795
171	0.3460389542
172	0.3438759701
173	0.342330392
174	0.3394669331
175	0.336547444
176	0.333819199
177	0.3317032362
178	0.3302581679
179	0.328577413
180	0.3270204691
181	0.3257303032
182	0.3242702331
183	0.3216490779
184	0.3192103535
185	0.316934853
186	0.3149838325
187	0.3132348113
188	0.3111905835
189	0.309290504
190	0.3072846215
191	0.3054113475
192	0.3044195331
193	0.3031620298
194	0.3012775979
195	0.2993546481
196	0.297876638
197	0.2958959924
198	0.2948418302
199	0.2936193407
200	0.2928005905
201	0.2914824679
202	0.2897220173
203	0.2880295107
204	0.2870893426
205	0.2858114379
206	0.2847529676
207	0.2838332602
208	0.2830987668
209	0.2815350496
210	0.2802871407
211	0.2787219204
212	0.2773502983
213	0.2755793277
214	0.274581057
215	0.2733499156
216	0.2723472939
217	0.271199253
218	0.2702228361
219	0.2691131799
220	0.2676336417
221	0.2670782582
222	0.2658872912
223	0.2651888952
224	0.2643966543
225	0.2635101598
226	0.2620940334
227	0.2613697605
228	0.2599059044
229	0.2586363602
230	0.2577759235
231	0.2568432413
232	0.2558260728
233	0.2544537161
234	0.2533438295
235	0.2524629562
236	0.2514742621
237	0.2508965128
238	0.2498936071
239	0.2493666797
240	0.2488915121
241	0.2475932746
242	0.2465894753
243	0.2456636175
244	0.2444960686
245	0.243981576
246	0.2434496221
247	0.2429248152
248	0.2424308381
249	0.2414669563
250	0.2410165712
251	0.240569529
252	0.2394986219
253	0.2384574576
254	0.2380542799
255	0.237566886
256	0.2366543015
257	0.2363588088
258	0.2358879758
259	0.2349843203
260	0.2338544656
261	0.2332263817
262	0.2324578149
263	0.2320299703
264	0.2311345769
265	0.2304503954
266	0.2299770053
267	0.2293184732
268	0.2287960804
269	0.2284237221
270	0.2275765324
271	0.2267346933
272	0.2260722054
273	0.2256941227
274	0.2246525806
275	0.2237424125
276	0.2231508789
277	0.2221775022
278	0.2216369227
279	0.2209929637
280	0.2205237007
281	0.2200510031
282	0.2196133539
283	0.2190618009
284	0.2181310958
285	0.2171500238
286	0.2167883964
287	0.2158613295
288	0.2149111272
289	0.2143897605
290	0.2138375798
291	0.2131034745
292	0.2123854279
293	0.2121139917
294	0.2113886379
295	0.2107895186
296	0.2099852868
297	0.2093175622
298	0.2086475751
299	0.2078311973
300	0.2068919034
301	0.2061684551
302	0.2053563053
303	0.2044820619
304	0.2038037186
305	0.2032883614
306	0.202667705
307	0.2022815919
308	0.2016678064
309	0.2012641236
310	0.2006991526
311	0.2001198827
312	0.1995536065
313	0.198896284
314	0.1982605608
315	0.1976732346
316	0.1969385424
317	0.1961542315
